space_group,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,density,vpa,packing fraction
124,14.0,41.0,27.0,34.166666666666664,9.111111111111112,41.0,47.0,78.0,31.0,54.0,9.333333333333334,47.0,28.0855,92.90638,64.82088,76.4407025,21.954236666666663,92.90638,1687.0,2750.0,1063.0,2409.1666666666665,454.4444444444445,2750.0,5.0,14.0,9.0,7.166666666666667,2.888888888888889,5.0,3.0,5.0,2.0,4.5,0.6666666666666666,5.0,111.0,164.0,53.0,148.83333333333334,20.222222222222218,164.0,1.6,1.9,0.2999999999999998,1.696666666666667,0.12888888888888891,1.6,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,2.0,2.0,0.3333333333333333,0.5555555555555555,0.0,0.0,7.0,7.0,3.8333333333333335,1.2777777777777777,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,5.5,1.1666666666666667,5.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,4.0,4.0,0.6666666666666666,1.111111111111111,0.0,0.0,6.0,6.0,4.5,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.833333333333333,1.5555555555555556,7.0,10.245,20.44,10.195000000000002,17.234166666666667,2.3297222222222222,18.18,0.0,0.773,0.773,0.12883333333333333,0.21472222222222223,0.0,0.0,1.5484712,1.5484712,0.25807853333333336,0.4301308888888889,0.0,194.0,229.0,35.0,222.83333333333334,9.611111111111105,229.0,0,0,0,0.0,7.834556442628767,16.20165400672101,0.688833751039263
164,13.0,27.0,14.0,19.0,6.4,14.0,58.0,78.0,20.0,69.0,8.8,58.0,26.9815386,58.933195,31.951656399999997,40.20378572,14.983527423999998,28.0855,933.47,1768.0,834.53,1568.694,254.08960000000002,1687.0,9.0,14.0,5.0,11.8,2.2399999999999998,9.0,3.0,4.0,1.0,3.4,0.48,3.0,111.0,126.0,15.0,119.0,6.4,111.0,1.61,1.9,0.2899999999999998,1.834,0.08959999999999986,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,7.0,7.0,2.8,3.3599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,5.8,2.5599999999999996,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.6,2.0799999999999996,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.8,0.64,3.0,10.245,20.44,10.195000000000002,15.569999999999999,4.260000000000001,10.245,0.0,0.773,0.773,0.30920000000000003,0.37104,0.0,0.0,1.5484712,1.5484712,0.61938848,0.743266176,0.0,194.0,227.0,33.0,213.4,15.52,194.0,-4,3,7,3.872983346207417,5.384968127661093,12.397465543082372,0.6443862199940624
221,14.0,76.0,62.0,45.0,31.0,14.0,57.0,78.0,21.0,67.5,10.5,57.0,28.0855,190.23,162.1445,109.15775,81.07225,28.0855,1687.0,3306.0,1619.0,2496.5,809.5,1687.0,8.0,14.0,6.0,11.0,3.0,8.0,3.0,6.0,3.0,4.5,1.5,3.0,111.0,144.0,33.0,127.5,16.5,111.0,1.9,2.2,0.30000000000000027,2.05,0.15000000000000013,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,14.0,14.0,7.0,7.0,0.0,4.0,22.0,18.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,14.09,20.44,6.350000000000001,17.265,3.1750000000000007,14.09,0.0,0.773,0.773,0.3865,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,227.0,33.0,210.5,16.5,194.0,-4,4,8,5.656854249492381,13.96863526962571,12.976264667121844,0.5694262648607099
63,31.0,31.0,0.0,31.0,0.0,31.0,74.0,74.0,0.0,74.0,0.0,74.0,69.723,69.723,0.0,69.723,0.0,69.723,302.91,302.91,0.0,302.91,0.0,302.91,13.0,13.0,0.0,13.0,0.0,13.0,4.0,4.0,0.0,4.0,0.0,4.0,122.0,122.0,0.0,122.0,0.0,122.0,1.81,1.81,0.0,1.81,0.0,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,18.8575,18.8575,0.0,18.8575,0.0,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,64.0,0.0,64.0,0,0,0,0.0,6.036266881013619,19.180358924274437,0.4798018700405435
62,14.0,44.0,30.0,34.0,13.333333333333334,44.0,56.0,78.0,22.0,63.333333333333336,9.777777777777779,56.0,28.0855,101.07,72.9845,76.74183333333333,32.437555555555555,101.07,1687.0,2607.0,920.0,2300.3333333333335,408.88888888888886,2607.0,8.0,14.0,6.0,10.0,2.6666666666666665,8.0,3.0,5.0,2.0,4.333333333333333,0.888888888888889,5.0,111.0,146.0,35.0,134.33333333333334,15.555555555555552,146.0,1.9,2.2,0.30000000000000027,2.1,0.13333333333333344,2.2,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,7.0,7.0,4.666666666666667,3.1111111111111107,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.666666666666667,1.7777777777777777,8.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,13.51,20.44,6.9300000000000015,15.82,3.0800000000000005,13.51,0.0,0.773,0.773,0.25766666666666665,0.3435555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,227.0,33.0,205.0,14.666666666666666,194.0,-4,2,6,4.242640687119285,9.539513851322749,13.358417868939542,0.598394813858941
221,6.0,27.0,21.0,20.0,8.4,27.0,58.0,77.0,19.0,64.8,8.16,58.0,12.0107,58.933195,46.922495,43.158364719999994,18.929796336,58.933195,933.47,3823.0,2889.5299999999997,2012.0940000000003,724.3624000000002,1768.0,9.0,14.0,5.0,10.8,2.16,9.0,2.0,4.0,2.0,3.4,0.72,4.0,76.0,126.0,50.0,115.0,15.6,126.0,1.61,2.55,0.9399999999999997,1.9600000000000002,0.23600000000000013,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.6,0.72,0.0,0.0,7.0,7.0,4.2,3.3599999999999994,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.8,2.6399999999999997,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.8,2.16,0.0,0.0,3.0,3.0,1.8,1.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.6,0.72,3.0,5.64,16.48,10.84,10.571000000000002,2.3636000000000017,10.245,0.0,4.496,4.496,0.8992000000000001,1.4387200000000002,0.0,0.0,1.5484712,1.5484712,0.92908272,0.743266176,1.5484712,194.0,225.0,31.0,200.2,9.919999999999993,194.0,0,0,0,0.0,6.947764117928165,10.314994788496378,0.7859620065824204
122,48.0,51.0,3.0,50.0,1.0,51.0,70.0,85.0,15.0,80.0,5.0,85.0,112.411,121.76,9.349000000000004,118.66024999999999,3.1246250000000053,121.76,505.08,903.78,398.7,726.7149999999999,177.065,903.78,12.0,15.0,3.0,14.0,1.0,15.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,144.0,5.0,140.25,1.875,139.0,1.69,2.05,0.3599999999999999,1.9375,0.12374999999999992,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,14.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,19.495,33.285,13.789999999999996,28.975,4.7399999999999975,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,194.0,53.0,166.75,13.625,166.0,-3,4,7,3.898717737923586,5.433928445831261,36.2610554669128,0.37167066735853727
225,77.0,77.0,0.0,77.0,0.0,77.0,60.0,60.0,0.0,60.0,0.0,60.0,192.217,192.217,0.0,192.217,0.0,192.217,2739.0,2739.0,0.0,2739.0,0.0,2739.0,9.0,9.0,0.0,9.0,0.0,9.0,6.0,6.0,0.0,6.0,0.0,6.0,141.0,141.0,0.0,141.0,0.0,141.0,2.2,2.2,0.0,2.2,0.0,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,14.0,14.0,0.0,14.0,0.0,14.0,23.0,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,14.21,14.21,0.0,14.21,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,0,0,0,0.0,21.91505333207338,14.564593246849025,0.7076060776589809
194,51.0,77.0,26.0,64.0,13.0,51.0,60.0,85.0,25.0,72.5,12.5,60.0,121.76,192.217,70.45700000000001,156.98850000000002,35.228500000000004,121.76,903.78,2739.0,1835.22,1821.3899999999999,917.61,903.78,9.0,15.0,6.0,12.0,3.0,9.0,5.0,6.0,1.0,5.5,0.5,5.0,139.0,141.0,2.0,140.0,1.0,139.0,2.05,2.2,0.15000000000000036,2.125,0.07500000000000018,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,0.0,7.0,10.0,3.0,8.5,1.5,7.0,0.0,14.0,14.0,7.0,7.0,0.0,15.0,23.0,8.0,19.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,14.21,31.56,17.349999999999998,22.884999999999998,8.674999999999999,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,195.5,29.5,166.0,-3,3,6,4.242640687119285,13.025327535488074,20.01374142390546,0.5765050309535076
216,25.0,77.0,52.0,51.0,17.333333333333332,25.0,52.0,85.0,33.0,65.66666666666667,12.888888888888891,52.0,54.938045,192.217,137.278955,122.97168166666667,46.16354555555555,54.938045,903.78,2739.0,1835.22,1720.5933333333332,678.9377777777778,903.78,7.0,15.0,8.0,10.333333333333334,3.111111111111111,7.0,4.0,6.0,2.0,5.0,0.6666666666666666,4.0,139.0,141.0,2.0,139.66666666666666,0.8888888888888857,139.0,1.55,2.2,0.6500000000000001,1.9333333333333333,0.25555555555555554,1.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,5.0,10.0,5.0,7.333333333333333,1.7777777777777777,5.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,7.0,23.0,16.0,15.0,5.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,5.0,5.0,2.6666666666666665,1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.6666666666666665,0.8888888888888888,3.0,10.4875862069,31.56,21.072413793099997,18.752528735633334,8.538314176244443,10.4875862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,0.00010337356321833333,0.00013783141762444443,0.0,166.0,225.0,59.0,202.66666666666666,24.444444444444446,166.0,0,0,0,0.0,10.706299709766578,19.072815727988903,0.6041772760619242
